INDEXCODE,SECUCODE,TRADEDATE,NAME,CLOSE,PCTCHANGE,WEIGHT,CONTRIBUTEPT,SHRMARKETVALUE,MV,TOTALTRADABLE,SHARETOTAL
000852.SH,600480.SH,2025/9/23,凌云股份,14.09,0.142146410803,0.126,0.0127,169.6664236865,172.2305912093,12.04161985,12.22360477
000852.SH,600449.SH,2025/9/23,宁夏建材,12.97,-0.840978593272,0.049,-0.029221,62.0200811474,62.0200811474,4.78181042,4.78181042
000852.SH,600478.SH,2025/9/23,科力远,6.22,-2.201257861635,0.10200000000000001,-0.159213,103.59664497520001,103.5966449752,16.65540916,16.65540916
000852.SH,600507.SH,2025/9/23,方大特钢,5.22,-1.136363636364,0.096,-0.077356,120.748407858,120.748407858,23.1318789,23.1318789
000852.SH,600403.SH,2025/9/23,大有能源,3.75,1.078167115903,0.022000000000000002,0.01682,89.655465075,89.655465075,23.90812402,23.90812402
000852.SH,000923.SZ,2025/9/23,河钢资源,14.95,-2.669270833333,0.084,-0.158993,93.87125242299999,97.5829796695,6.27901354,6.52728961
000852.SH,000927.SZ,2025/9/23,中国铁物,2.67,-2.197802197802,0.082,-0.127794,161.5443605127,161.5444422147,60.50350581,60.50353641
000852.SH,000928.SZ,2025/9/23,中钢国际,6.21,-0.798722044728,0.07100000000000001,-0.040212,89.0903411091,89.0914309641,14.34627071,14.34644621
000852.SH,000930.SZ,2025/9/23,中粮科技,5.9,-0.505902192243,0.07200000000000001,-0.025829,109.52453672,109.530101364,18.5634808,18.56442396
000852.SH,600477.SH,2025/9/23,杭萧钢构,2.65,-2.573529411765,0.055,-0.100369,62.777602975,62.777602975,23.6896615,23.6896615
000852.SH,600158.SH,2025/9/23,中体产业,9,-1.74672489083,0.08499999999999999,-0.105281,86.35617603,86.35617603,9.59513067,9.59513067
000852.SH,600163.SH,2025/9/23,中闽能源,5.24,0.963391136802,0.049,0.033474,99.7169978932,99.7169978932,19.02996143,19.02996143
000852.SH,600169.SH,2025/9/23,太原重工,2.47,-1.984126984127,0.049,-0.06894,82.32859505,82.673448299,33.331415,33.4710317
000852.SH,000935.SZ,2025/9/23,四川双马,21.07,-1.265229615745,0.077,-0.069082,160.8568781631,160.8568781631,7.63440333,7.63440333
000852.SH,600179.SH,2025/9/23,安通控股,3.75,3.021978021978,0.13,0.278575,140.4088685625,158.6822617125,37.44236495,42.31526979
000852.SH,000950.SZ,2025/9/23,重药控股,5.09,-0.5859375,0.056999999999999995,-0.023683,87.96460102639999,87.9646010264,17.28184696,17.28184696
000852.SH,000966.SZ,2025/9/23,长源电力,4.36,-0.456621004566,0.059000000000000004,-0.019104,142.20239495200002,151.7731266976,32.6152282,34.81035016
000852.SH,600320.SH,2025/9/23,振华重工,4.38,-0.904977375566,0.11499999999999999,-0.073798,145.5034975518,230.7538833438,33.21997661,52.68353501
000852.SH,600550.SH,2025/9/23,保变电气,8.14,-0.488997555012,0.1,-0.034675,149.900418272,149.900418272,18.4152848,18.4152848
000852.SH,600552.SH,2025/9/23,凯盛科技,12.84,-3.094339622642,0.123,-0.269886,121.28752518959999,121.2875251896,9.44606894,9.44606894
000852.SH,600556.SH,2025/9/23,天下秀,4.98,-3.675048355899,0.084,-0.218902,90.02583257159999,90.0258325716,18.07747642,18.07747642
000852.SH,600557.SH,2025/9/23,康缘药业,15.04,-1.955671447197,0.07200000000000001,-0.099847,85.15028442239999,85.1502844224,5.66158806,5.66158806
000852.SH,600559.SH,2025/9/23,老白干酒,17.06,-1.557991921523,0.166,-0.183392,155.1623111464,156.0559139464,9.09509444,9.14747444
000852.SH,000012.SZ,2025/9/23,南玻A,4.65,-0.428265524625,0.06999999999999999,-0.021258,91.108221807,142.7871829755,19.59316598,30.70692107
000852.SH,600072.SH,2025/9/23,中船科技,12.07,-1.30825838103,0.14300000000000002,-0.132659,130.7588140412,181.3667549412,10.83337316,15.02624316
000852.SH,600575.SH,2025/9/23,淮河能源,3.42,-0.869565217391,0.068,-0.041929,132.910128423,132.910128423,38.86261065,38.86261065
000852.SH,600502.SH,2025/9/23,安徽建工,4.66,1.304347826087,0.07100000000000001,0.065669,79.9904815108,79.9904815108,17.16533938,17.16533938
000852.SH,600409.SH,2025/9/23,三友化工,5.51,-1.957295373665,0.096,-0.13324,113.7456545848,113.7456545848,20.64349448,20.64349448
000852.SH,600490.SH,2025/9/23,鹏欣资源,6.28,-0.158982511924,0.11299999999999999,-0.012739,125.1366230408,138.9693085612,19.92621386,22.12887079
000852.SH,600682.SH,2025/9/23,南京新百,7.38,-3.780964797914,0.06999999999999999,-0.187675,85.981448295,99.3445579098,11.65060275,13.46132221
000852.SH,002041.SZ,2025/9/23,登海种业,9.21,-1.497326203209,0.043,-0.045655,81.048,81.048,8.8,8.8
000852.SH,002043.SZ,2025/9/23,兔宝宝,10.61,0.094339622642,0.067,0.004482,78.1025182055,88.036950328,7.36121755,8.2975448
000852.SH,600073.SH,2025/9/23,光明肉业,6.88,-0.864553314121,0.061,-0.037396,64.5157876736,64.5157876736,9.37729472,9.37729472
000852.SH,600075.SH,2025/9/23,新疆天业,4.49,-0.883002207506,0.058,-0.036316,76.6605835687,76.6605835687,17.07362663,17.07362663
000852.SH,600446.SH,2025/9/23,金证股份,17.88,-5.346744309158,0.182,-0.69003,168.29862524520001,168.2986252452,9.41267479,9.41267479
000852.SH,600459.SH,2025/9/23,贵研铂业,15.42,-4.932182490752,0.11399999999999999,-0.398704,116.2420598436,117.1622588292,7.53839558,7.59807126
000852.SH,000422.SZ,2025/9/23,湖北宜化,13.05,-2.320359281437,0.151,-0.24845,138.04331551200002,142.052148666,10.57803184,10.88522212
000852.SH,000718.SZ,2025/9/23,苏宁环球,2.62,-3.676470588235,0.042,-0.109493,59.7908397964,79.5074732608,22.82093122,30.34636384
000852.SH,000719.SZ,2025/9/23,中原传媒,11.63,-0.428082191781,0.05,-0.015178,77.5892592509,118.9985960087,6.67147543,10.23203749
000852.SH,000727.SZ,2025/9/23,冠捷科技,2.95,-3.908794788274,0.089,-0.246683,133.62222591,133.62222591,45.2956698,45.2956698
000852.SH,002045.SZ,2025/9/23,国光电器,17.11,-3.27868852459,0.097,-0.225517,96.1296061102,96.2408638852,5.61832882,5.62483132
000852.SH,002048.SZ,2025/9/23,宁波华翔,36.33,2.136631993253,0.166,0.251504,257.8708424439,295.6655732226,7.09801383,8.13833122
000852.SH,000048.SZ,2025/9/23,京基智农,16.88,-1.22878876536,0.053,-0.046181,88.84950048,89.5116438,5.263596,5.3028225
000852.SH,000049.SZ,2025/9/23,德赛电池,26.31,-0.529300567108,0.07100000000000001,-0.026648,101.17112219219999,101.1983982954,3.84534862,3.84638534
000852.SH,600246.SH,2025/9/23,万通发展,12.95,-5.336257309942,0.174,-0.658405,244.808415642,244.808415642,18.90412476,18.90412476
000852.SH,600248.SH,2025/9/23,陕建股份,3.89,0.777202072539,0.074,0.040782,144.1532582254,145.4757026254,37.05739286,37.39735286
000852.SH,600252.SH,2025/9/23,中恒集团,2.68,-4.285714285714,0.09,-0.27351,85.335570276,85.632120316,31.8416307,31.9522837
000852.SH,600710.SH,2025/9/23,苏美达,9.71,0.103092783505,0.06899999999999999,0.005044,126.8853700414,126.8853700414,13.06749434,13.06749434
000852.SH,600751.SH,2025/9/23,海航科技,4.65,0.215517241379,0.083,0.012684,119.653290918,134.8192069095,25.73189052,28.99337783
000852.SH,600757.SH,2025/9/23,长江传媒,8.35,-0.595238095238,0.06999999999999999,-0.029546,101.3270081005,101.3397977955,12.13497103,12.13650273
000852.SH,600759.SH,2025/9/23,洲际油气,2.24,-2.183406113537,0.121,-0.187338,92.81856147200001,92.937807872,41.4368578,41.4900928
000852.SH,600761.SH,2025/9/23,安徽合力,22,-0.766801984664,0.15,-0.081561,195.95240742,195.95240742,8.90692761,8.90692761
000852.SH,000058.SZ,2025/9/23,深赛格,9.16,-1.927194860814,0.033,-0.045097,90.2021248264,112.7779815552,9.84739354,12.31200672
000852.SH,000059.SZ,2025/9/23,华锦股份,5.06,-1.556420233463,0.063,-0.06953,80.93179237220001,80.9317923722,15.99442537,15.99442537
000852.SH,000061.SZ,2025/9/23,农产品,8.48,-3.306727480046,0.074,-0.173515,143.8999189088,143.9025583088,16.96933006,16.96964131
000852.SH,600259.SH,2025/9/23,广晟有色,53.39,-4.404655326768,0.213,-0.665271,179.623132349,179.623132349,3.3643591,3.3643591
000852.SH,600266.SH,2025/9/23,城建发展,4.89,-4.4921875,0.078,-0.248462,101.5038574923,101.5038574923,20.75743507,20.75743507
000852.SH,600267.SH,2025/9/23,海正药业,10.25,-2.287893231649,0.11299999999999999,-0.183325,122.814366965,122.88194009,11.98188946,11.98848196
000852.SH,600133.SH,2025/9/23,东湖高新,8.62,-2.045454545455,0.12,-0.174052,91.909877225,91.909877225,10.66239875,10.66239875
000852.SH,600138.SH,2025/9/23,中青旅,10.05,-2.804642166344,0.074,-0.147169,72.74592,72.74592,7.2384,7.2384
000852.SH,600313.SH,2025/9/23,农发种业,6.28,-1.25786163522,0.061,-0.054409,67.9620760364,67.9620760364,10.82198663,10.82198663
000852.SH,600315.SH,2025/9/23,上海家化,25.63,-1.347190146266,0.11399999999999999,-0.108903,172.291518674,172.291518674,6.7222598,6.7222598
000852.SH,000065.SZ,2025/9/23,北方国际,10.81,-0.460405156538,0.076,-0.024812,105.39342333280001,115.8168129794,9.74962288,10.71385874
000852.SH,000088.SZ,2025/9/23,盐田港,4.47,0,0.044000000000000004,0,141.3813827196,232.4169055662,31.62894468,51.99483346
000852.SH,000089.SZ,2025/9/23,深圳机场,7,-0.568181818182,0.093,-0.037469,143.55196821,143.55386563,20.50742403,20.50769509
000852.SH,000090.SZ,2025/9/23,天健集团,3.58,-2.185792349727,0.06,-0.092997,66.89086563720001,66.8939265372,18.68459934,18.68545434
000852.SH,000099.SZ,2025/9/23,中信海直,22.16,-2.292768959436,0.167,-0.271509,171.9106623592,171.9106623592,7.75770137,7.75770137
000852.SH,000156.SZ,2025/9/23,华数传媒,7.87,-0.88161209068,0.096,-0.060014,133.78023151989998,145.8257831854,16.99875877,18.52932442
000852.SH,600269.SH,2025/9/23,赣粤高速,4.84,0.623700623701,0.074,0.032728,113.0336994776,113.0336994776,23.35407014,23.35407014
000852.SH,600151.SH,2025/9/23,航天机电,8,-3.264812575574,0.11,-0.254658,114.74018296,114.74018296,14.34252287,14.34252287
000852.SH,002004.SZ,2025/9/23,华邦健康,4.47,-1.541850220264,0.097,-0.106052,84.10838847630001,88.5023878377,18.81619429,19.79919191
000852.SH,002006.SZ,2025/9/23,精工科技,22.11,-1.820603907638,0.08,-0.103279,114.926329584,114.926329584,5.1979344,5.1979344
000852.SH,002010.SZ,2025/9/23,传化智联,6.39,-2.887537993921,0.108,-0.221135,177.7045968234,178.1513154612,27.80979606,27.87970508
000852.SH,002011.SZ,2025/9/23,盾安环境,14.99,1.283783783784,0.104,0.094674,137.8158777558,159.7088836818,9.19385442,10.65436182
000852.SH,600323.SH,2025/9/23,瀚蓝环境,27.34,1.824953445065,0.161,0.208346,222.9159097164,222.9159097164,8.15347146,8.15347146
000852.SH,600328.SH,2025/9/23,中盐化工,7.56,-1.690507152146,0.089,-0.106688,110.8530006948,110.8530006948,14.66309533,14.66309533
000852.SH,600330.SH,2025/9/23,天通股份,11.8,-4.761904761905,0.146,-0.492993,145.545261088,145.545261088,12.33434416,12.33434416
000852.SH,600331.SH,2025/9/23,宏达股份,10.82,-1.636363636364,0.217,-0.251795,219.8624,285.82112,20.32,26.416
000852.SH,600335.SH,2025/9/23,国机汽车,6.06,-0.818330605565,0.047,-0.027273,90.64479473520001,90.6447947352,14.95788692,14.95788692
000852.SH,600338.SH,2025/9/23,西藏珠峰,12.27,-3.080568720379,0.14100000000000001,-0.308004,112.1735876136,112.1735876136,9.14210168,9.14210168
000852.SH,600285.SH,2025/9/23,羚锐制药,22.1,-0.315741993685,0.132,-0.029554,125.056272406,125.332522406,5.65865486,5.67115486
000852.SH,002015.SZ,2025/9/23,协鑫能科,11.53,-1.114922813036,0.153,-0.12096,187.1693279942,187.1693279942,16.23324614,16.23324614
